Id,Water Temperature,Turbidity,Wave Height,Wave Period,Battery Life
161,16.7,2.02,0.184,4,11.6
162,16.6,1.59,0.176,4,11.6
163,16.6,1.7,0.161,4,11.6
164,16.6,1.57,0.167,4,11.6
165,16.6,1.61,0.198,4,11.6
166,16.6,1.7,0.175,4,11.5
167,16.5,1.5,0.167,4,11.5
168,16.6,1.43,0.181,4,11.5
169,16.6,1.43,0.177,3,11.5
170,16.8,1.36,0.185,4,11.5
171,17.1,1.24,0.202,4,11.5
172,17.4,1.29,0.205,4,11.5
173,17.5,1.36,0.187,4,11.5
174,17.4,1.26,0.212,4,11.5
175,17.3,1.3,0.193,4,11.5
176,17.3,1.46,0.187,4,11.5
177,17.3,1.42,0.182,4,11.5
178,17.2,1.44,0.196,4,11.5
179,17.4,1.41,0.206,4,11.5
180,17.3,1.43,0.191,4,11.5
181,17.1,1.26,0.158,3,11.5
182,16.9,1.24,0.155,3,11.5
183,16.9,1.21,0.132,3,11.5
184,17.2,1.9,0.196,4,11.6
185,17.2,1.29,0.183,4,11.5
186,17,1.28,0.124,4,11.5
187,15.8,2.21,0.109,2,11.8
188,15.4,1.66,0.113,3,11.7
189,15.4,1.5,0.109,3,11.7
190,15.6,1.61,0.102,2,11.7
191,15.8,1.45,0.097,3,11.7
192,15.5,1.16,0.218,3,11.6
193,15.4,1.27,0.242,4,11.5
194,15.5,1.69,0.263,4,11.5
195,15.6,2.17,0.305,4,11.4
196,15.4,2.11,0.274,4,11.4
197,15.4,3.69,0.267,4,11.5
198,15.4,2.22,0.271,3,11.5
199,15.4,2.3,0.242,4,11.5
200,15.2,2.04,0.229,3,11.5
201,16.8,1.24,0.167,2,11.5
202,16.7,1.15,0.165,3,11.5
203,16.6,1.15,0.156,3,11.5
204,16.7,1.04,0.19,3,11.5
205,16.7,1.1,0.195,4,11.5
206,16.7,1.13,0.207,4,11.5
207,16.7,1.12,0.219,4,11.5
208,16.7,1.66,0.228,4,11.4
209,16.7,1.25,0.209,4,11.4
210,16.7,1.13,0.198,4,11.4
211,16.7,1.02,0.185,4,11.4
212,16.7,1.14,0.234,4,11.4
213,16.6,1.08,0.247,3,11.4
214,16.6,1.03,0.204,3,11.4
215,16.6,1.01,0.18,3,11.4
216,16.6,1.14,0.18,4,11.4
217,16.6,1.12,0.205,4,11.4
218,16.6,1.11,0.202,4,11.4
219,16.6,1.12,0.208,3,11.4
220,16.5,1.11,0.197,4,11.4
221,16.5,1.13,0.195,4,11.4
222,16.5,1.15,0.21,4,11.4
223,16.5,1.11,0.211,4,11.4
224,16.4,1.05,0.218,4,11.4
225,16.4,1.07,0.195,4,11.4
226,16.4,1.08,0.192,4,11.4
227,16.4,1.11,0.188,4,11.4
228,16.4,0.99,0.188,4,11.4
229,16.4,1.04,0.218,4,11.4
230,16.4,1.02,0.247,4,11.4
231,16.5,0.99,0.226,4,11.4
232,16.8,1.24,0.207,4,11.4
233,16.7,1.25,0.221,4,11.4
234,16.6,1.24,0.193,4,11.3
235,16.4,1.29,0.197,4,11.3
236,16.5,1.13,0.191,4,11.3
237,16.4,1.16,0.195,4,11.3
238,16.2,1.09,0.205,4,11.3
239,16.2,1.06,0.192,4,11.3
240,16.2,1.03,0.191,4,11.3
241,16.2,1.06,0.204,4,11.3
242,16.2,1.04,0.17,4,11.3
243,16.2,1.23,0.176,4,11.3
244,16.2,1.12,0.175,4,11.3
245,16.2,1.05,0.161,4,11.3
246,16.3,1.11,0.212,4,11.3
247,16.2,0.92,0.16,4,11.3
248,15.7,2.06,0.1,5,11.8
249,15.8,1.72,0.099,3,11.7
250,16,1.45,0.114,4,11.7
251,15.5,1.34,0.215,4,11.6
252,15.2,2.51,0.244,4,11.5
253,15.2,1.94,0.212,4,11.5
254,15.2,1.89,0.219,4,11.5
255,15.2,1.66,0.218,3,11.5
256,15.2,1.5,0.219,4,11.4
257,15.3,1.36,0.202,4,11.4
258,15.6,1.31,0.199,3,11.4
259,15.9,1.3,0.184,4,11.4
260,15.9,1.26,0.18,3,11.4
261,15.9,1.23,0.202,3,11.4
262,16.1,1.12,0.156,3,11.4
263,16,1.18,0.167,4,11.4
264,15.9,1.17,0.16,3,11.4
265,16,1.52,0.14,3,11.4
266,15.9,1.25,0.122,3,11.4
267,15.8,1.11,0.108,4,11.4
268,15.7,1.1,0.114,3,11.4
269,21.8,1.84,0.187,3,10.9
270,21.7,1.78,0.187,3,10.9
271,21.8,1.78,0.187,3,10.9
272,21.9,1.66,0.187,3,10.9
273,22.2,2.17,0.187,3,10.9
274,22.2,2.2,0.187,3,10.9
275,22.5,3.55,0.187,3,10.9
276,22.8,3.73,0.187,3,10.9
277,23,3.4,0.187,3,10.9
278,23.2,3.35,0.187,3,10.9
279,23.4,3.46,0.187,3,10.9
280,23.3,4.19,0.187,3,10.9
281,22.8,3.84,0.187,3,10.9
282,22.5,3.08,0.187,3,10.9
283,22.4,3.45,0.187,3,10.9
284,22.3,3.23,0.187,3,10.9
285,22,3.86,0.187,3,10.9
286,21.9,3.14,0.187,3,10.9
287,22.2,2.02,0.187,3,10.9
288,21.8,2.75,0.187,3,10.8
289,21.7,2.88,0.187,3,10.9
290,21.7,2.29,0.187,3,10.8
291,16.3,0.93,0.17,4,11.3
292,16.3,1.1,0.151,4,11.3
293,16.5,1.06,0.167,4,11.3
294,16.9,1.31,0.166,3,11.3
295,16.9,1.09,0.15,4,11.3
296,16.5,0.99,0.143,4,11.3
297,16.9,0.98,0.138,3,11.3
298,17.6,0.79,0.14,4,11.3
299,17.3,0.79,0.134,4,11.3
300,17.4,0.74,0.127,4,11.3
301,17.8,0.79,0.151,4,11.3
302,17.9,0.88,0.128,3,11.3
303,17.7,0.8,0.121,4,11.3
304,17.8,0.77,0.122,4,11.3
305,17.6,0.75,0.123,3,11.3
306,17.5,0.8,0.111,4,11.3
307,17.4,0.83,0.112,4,11.3
308,17.3,0.85,0.1,7,11.3
309,17.2,0.77,0.102,6,11.3
310,17,0.78,0.1,4,11.3
311,17.1,0.85,0.081,4,11.3
312,17.1,0.66,0.096,3,11.3
313,17.2,0.65,0.092,4,11.3
314,17.1,0.67,0.077,3,11.3
315,17.2,0.69,0.097,5,11.3
316,17.4,0.66,0.103,3,11.3
317,17.7,0.64,0.127,4,11.3
318,17.9,0.63,0.168,2,11.3
319,18.1,0.67,0.188,4,11.3
320,19.1,0.64,0.133,3,11.3
321,19.7,0.64,0.154,3,11.3
322,21,0.97,0.173,4,11.2
323,20.4,0.83,0.137,4,11.2
324,20,0.79,0.178,4,11.3
325,18.1,0.82,0.162,3,11.2
326,17.7,0.77,0.168,4,11.3
327,17,0.8,0.116,3,11.2
328,16.9,0.77,0.106,4,11.2
329,16.8,0.79,0.098,4,11.2
330,16.8,0.77,0.088,4,11.2
331,16.8,0.67,0.083,5,11.2
332,16.8,0.76,0.072,4,11.2
333,16.7,0.75,0.07,4,11.2
334,16.7,0.68,0.083,3,11.2
335,16.8,0.69,0.078,4,11.2
336,17.3,0.83,0.174,3,11.3
337,17.1,0.75,0.171,3,11.2
338,16.9,0.68,0.08,4,11.2
339,15.6,1.76,0.09,5,11.8
340,15.8,1.63,0.157,3,11.7
341,15.7,1.29,0.098,3,11.7
342,15.7,1.46,0.095,7,11.7
343,15.5,1.15,0.214,4,11.6
344,15.3,2.2,0.25,3,11.5
345,15.3,1.54,0.229,3,11.4
346,15.1,1.66,0.211,3,11.5
347,15.3,1.33,0.205,4,11.4
348,15.7,1.25,0.195,3,11.4
349,16,1.25,0.159,3,11.4
350,15.9,1.14,0.166,2,11.4
351,15.8,1.12,0.136,4,11.4
352,15.8,1.06,0.112,4,11.4
353,15.7,1.02,0.111,3,11.4
354,17.3,0.6,0.097,3,11.2
355,18.2,0.62,0.092,3,11.2
356,18.8,0.53,0.102,4,11.2
357,18.5,0.62,0.124,3,11.2
358,18.3,0.67,0.155,4,11.2
359,19.1,0.57,0.133,4,11.2
360,19.1,0.62,0.125,4,11.2
361,19.2,0.61,0.134,4,11.2
362,19.3,0.72,0.143,3,11.2
363,18.1,0.94,0.147,3,11.2
364,17.8,0.81,0.127,3,11.2
365,17.6,0.67,0.164,4,11.2
366,17.3,0.75,0.152,4,11.2
367,17.2,0.82,0.131,2,11.2
368,17.1,0.81,0.149,2,11.2
369,17.2,0.77,0.115,3,11.2
370,17.1,0.82,0.101,6,11.2
371,17.1,0.82,0.096,3,11.2
372,17.1,0.75,0.102,3,11.2
373,17,0.82,0.094,4,11.2
374,17,0.75,0.091,4,11.2
375,17.1,0.7,0.086,4,11.2
376,17.2,0.79,0.08,4,11.1
377,17.4,0.8,0.097,4,11.1
378,18,0.94,0.09,4,11.1
379,17.8,0.89,0.123,2,11.1
380,17.4,0.94,0.151,3,11.1
381,18.3,1.07,0.164,4,11.1
382,18.8,0.7,0.155,4,11.1
383,19.5,1.1,0.154,3,11.1
384,19.1,0.97,0.157,3,11.1
385,18.6,1.13,0.169,3,11.1
386,18.3,1.06,0.158,3,11.1
387,18,0.99,0.174,3,11.1
388,17.7,0.95,0.149,3,11.1
389,17.7,0.96,0.164,3,11.1
390,17.8,0.94,0.143,2,11.1
391,17.7,1.03,0.118,4,11.1
392,17.7,1.03,0.104,2,11.1
393,17.6,1.05,0.122,4,11.1
394,17.4,0.96,0.228,3,11.1
395,17.4,1.09,0.308,4,11.1
396,17.5,1.06,0.199,3,11.1
397,17.5,1.09,0.18,4,11.1
398,17.5,1.07,0.168,4,11.1
399,17.3,0.96,0.16,4,11.1
400,15.6,1.75,0.122,2,11.8
